"time","reference","prediction"
0.606,-1.9271793050570296,-1.9108542997405151
0.608,-1.9198492356063777,-1.9034589330214131
0.61,-1.9124026521672073,-1.8959994238131674
0.612,-1.9048465633821643,-1.8884833973936126
0.614,-1.8971880232187974,-1.8809183989995124
0.616,-1.889434126153867,-1.8733118871753547
0.618,-1.8815920023358839,-1.8656712274267946
0.62,-1.873668812729001,-1.8580036861892069
0.622,-1.86567174424137,-1.8503164251205502
0.624,-1.8576080048411012,-1.8426164957264404
0.626,-1.8494848186629664,-1.8349108343240466
0.628,-1.8413094211089862,-1.8272062573500474
0.63,-1.8330890539460494,-1.8195094570165606
0.632,-1.8248309604037156,-1.811826997317599
0.634,-1.8165423802753504,-1.8041653103872664
0.636,-1.808230545025733,-1.7965306932095952
0.638,-1.799902672908282,-1.7889293046786072
0.64,-1.7915659640950323,-1.7813671630059589
0.642,-1.7832275958224841,-1.7738501434722727
0.644,-1.7748947175564473,-1.7663839765171159
0.646,-1.7665744461789694,-1.7589742461614604
0.648,-1.7582738612004505,-1.7516263887554135
0.65,-1.75,-1.7443456920430096
0.652,-1.7417598530970988,-1.7371372945349366
0.654,-1.7335603594575881,-1.7300061851792332
0.656,-1.7254084018370057,-1.7229572033191944
0.658,-1.7173108021642394,-1.715995038927053
0.66,-1.709274316968471,-1.7091242331013587
0.662,-1.7013056328523297,-1.702349178815437
0.664,-1.6934113620141602,-1.69567412190385
0.666,-1.685598037822272,-1.6891031622733736
0.668,-1.6778721104440095,-1.6826402553246966
0.67,-1.6702399425324335,-1.6762892135707812
0.672,-1.6627078049733826,-1.6700537084376692
0.674,-1.6552818726956384,-1.663937272233389
0.676,-1.6479682205468724,-1.6579433002705657
0.678,-1.640772819238018,-1.6520750531283692
0.68,-1.6337015313586645,-1.6463356590394786
0.682,-1.6267601074660198,-1.6407281163878706
0.684,-1.6199541822499466,-1.6352552963034217
0.686,-1.6132892707765327,-1.6299199453395037
0.688,-1.606770764812587,-1.6247246882200286
0.69,-1.6004039292334205,-1.6196720306426742
0.692,-1.5941938985162152,-1.6147643621253618
0.694,-1.5881456733212134,-1.6100039588833934
0.696,-1.5822641171629206,-1.6053929867250565
0.698,-1.5765539531734545,-1.6009335039538741
0.7,-1.571019760960103,-1.5966274642661347
0.702,-1.5656659735591079,-1.592476719632729
0.704,-1.5604968744876173,-1.5884830231547968
0.706,-1.5555165948956973,-1.5846480318831193
0.708,-1.5507291108202195,-1.5809733095916663
0.71,-1.546138240542384,-1.5774603294961485
0.712,-1.541747642050565,-1.574110476908917
0.714,-1.537560810610103,-1.5709250518219866
0.716,-1.5335810764415991,-1.5679052714104333
0.718,-1.5298116025091884,-1.5650522724488636
0.72,-1.5262553824202185,-1.56236711363412
